step,vertices,faces,min_angle_deg,avg_min_angle_deg,max_angle_deg,avg_aspect_ratio,bad_triangle_count,needle_like_count,cap_like_count,collapse_edges,split_edges,collapses,splits
0,93450,186896,0.488342,21.931302,178.207672,0.373756,23495,23495,13,0,0,0,0
1,91406,182808,0.150896,22.417582,179.467055,0.381947,18500,18500,17,12512,13,2057,13
2,89550,179096,0.591813,22.877213,178.710400,0.389715,13749,13749,20,9804,14,1870,14
3,88141,176278,0.284219,23.238280,178.098411,0.395816,10331,10331,14,7384,18,1427,18
4,86960,173916,0.322275,23.549522,179.179777,0.401028,7269,7269,13,5530,14,1195,14
5,86135,172266,0.072120,23.771178,179.727236,0.404756,4900,4900,15,3883,13,838,13
6,85483,170962,0.497948,23.948228,178.631180,0.407729,2632,2632,14,2601,8,660,8
7,85098,170192,0.103519,24.053346,179.723079,0.409478,1226,1226,16,1401,14,399,14
8,84837,169670,0.103519,24.125726,179.619961,0.410703,453,453,26,662,17,278,17
9,84720,169436,0.103519,24.158420,179.723079,0.411262,195,195,37,254,24,141,24
10,84705,169406,0.141356,24.163270,179.470468,0.411354,162,162,43,112,31,46,31
