region_id,seed_face_index,reason,seed_label,seed_x,seed_y,seed_z,seed_min_angle_deg,seed_max_angle_deg,seed_aspect_ratio,patch_radius,step,patch_face_count,patch_bad_count,patch_good_count,patch_needle_count,patch_low_aspect_count,patch_cap_count,patch_zero_area_count,patch_min_angle_deg,patch_avg_min_angle_deg,patch_max_angle_deg,tracked_face_index,tracked_face_label,tracked_min_angle_deg,tracked_max_angle_deg,tracked_aspect_ratio,tracked_distance_to_seed
1,17936,worst cap-like triangle that becomes locally tracked,cap,0.143859000,0.010383667,0.229466333,1.084373,175.841493,0.260974,0.013394756,0,220,141,79,140,0,1,0,0.878107,6.644362,175.841493,17936,cap,1.084373,175.841493,0.260974,0.000000
1,17936,worst cap-like triangle that becomes locally tracked,cap,0.143859000,0.010383667,0.229466333,1.084373,175.841493,0.260974,0.013394756,1,220,128,92,126,0,2,0,0.909408,7.643306,176.654281,15219,needle,2.319330,170.595497,0.247662,0.000291
1,17936,worst cap-like triangle that becomes locally tracked,cap,0.143859000,0.010383667,0.229466333,1.084373,175.841493,0.260974,0.013394756,2,198,100,98,98,0,2,0,1.004104,8.555725,176.167176,16402,cap,1.563445,176.167176,0.408163,0.000214
1,17936,worst cap-like triangle that becomes locally tracked,cap,0.143859000,0.010383667,0.229466333,1.084373,175.841493,0.260974,0.013394756,3,179,74,105,74,0,0,0,1.138411,9.488316,174.781425,15877,needle,2.089057,174.781425,0.400777,0.000194
1,17936,worst cap-like triangle that becomes locally tracked,cap,0.143859000,0.010383667,0.229466333,1.084373,175.841493,0.260974,0.013394756,4,172,63,109,61,0,2,0,0.756945,9.944661,175.539811,15393,needle,2.089057,174.781425,0.400777,0.000194
1,17936,worst cap-like triangle that becomes locally tracked,cap,0.143859000,0.010383667,0.229466333,1.084373,175.841493,0.260974,0.013394756,5,163,50,113,48,0,2,0,0.756945,10.610053,178.098411,14319,needle,3.622149,172.104032,0.459883,0.000155
1,17936,worst cap-like triangle that becomes locally tracked,cap,0.143859000,0.010383667,0.229466333,1.084373,175.841493,0.260974,0.013394756,6,157,42,115,40,0,2,0,0.756945,11.040433,176.848937,14130,needle,4.503562,170.578183,0.479660,0.000088
1,17936,worst cap-like triangle that becomes locally tracked,cap,0.143859000,0.010383667,0.229466333,1.084373,175.841493,0.260974,0.013394756,7,149,31,118,29,0,2,0,0.626155,11.637194,177.297594,14062,good,6.830962,164.655421,0.449471,0.000154
1,17936,worst cap-like triangle that becomes locally tracked,cap,0.143859000,0.010383667,0.229466333,1.084373,175.841493,0.260974,0.013394756,8,144,24,120,23,0,1,0,0.626155,12.094973,178.207762,14037,good,6.830962,164.655421,0.449471,0.000154
1,17936,worst cap-like triangle that becomes locally tracked,cap,0.143859000,0.010383667,0.229466333,1.084373,175.841493,0.260974,0.013394756,9,141,16,125,16,0,0,0,1.584153,12.605970,174.503354,13224,good,13.992662,94.935173,0.242697,0.000280
1,17936,worst cap-like triangle that becomes locally tracked,cap,0.143859000,0.010383667,0.229466333,1.084373,175.841493,0.260974,0.013394756,10,137,12,125,12,0,0,0,1.580132,12.958998,172.791466,13252,good,14.590556,95.850550,0.253229,0.000257
2,39860,skinny needle-like triangle that becomes locally tracked,needle,0.129655000,-0.014741667,0.290070667,0.574512,90.000000,0.010027,0.013394756,0,160,122,38,122,0,0,0,0.488342,5.796763,131.295672,39860,needle,0.574512,90.000000,0.010027,0.000000
2,39860,skinny needle-like triangle that becomes locally tracked,needle,0.129655000,-0.014741667,0.290070667,0.574512,90.000000,0.010027,0.013394756,1,139,98,41,98,0,0,0,0.488351,6.666991,131.295672,36774,needle,0.881967,90.643645,0.015394,0.000116
2,39860,skinny needle-like triangle that becomes locally tracked,needle,0.129655000,-0.014741667,0.290070667,0.574512,90.000000,0.010027,0.013394756,2,117,71,46,71,0,0,0,0.749339,7.932977,131.295672,35276,needle,0.881967,90.643645,0.015394,0.000116
